table1,table2,table3,table1alias,table2alias,table3alias,attribute11,attribute12,attribute21,attribute22,attribute31,diagrampattern1,diagrampattern2,diagrampattern3,diagrampattern4,sqlpattern1,sqlpattern2,sqlpattern3,sqlpattern4,answer1,answer2,answer3,answer4
Sailor,Reserves,Boat,S,R,B,sname,sid,bid,sid,bid,uxntvglxydfa,ckmbijmjlvrl,lfgndsgbvpqm,ljqcfmhtgxid,unmflqlvewtu,evbfvzekfcbl,yrdjzdptxeho,mjzhmueuxvhj,Find sailors who have reserved **some** boat.,Find sailors who have **not** reserved **any** boat.,Find sailors who have **not** reserved **all** boats.,Find sailors who have reserved **all** boats.
Student,Takes,Course,S,T,C,sname,sid,cid,sid,cid,tymrgbtdwryx,spuorxkrgcty,aagasjtrkshm,gpjehwoxxafq,tdvzvdcrvevv,iwrzclhcvyyx,nrgwoqlizovo,kixmldsprhvd,Find students who took **some** course.,Find students who did **not** take any course.,Find students who did **not** take **all** courses.,Find students who took **all** courses.
Actor,Plays,Movie,A,P,M,aname,aid,mid,aid,mid,cvwxlbecbjod,ehzjtlozihbl,kmhlwadpzpwe,pbflafjgwzto,mjlolmikvzqn,grjthdgcfkgx,hechdhxqmzab,jjosqbdwynye,Find actors who play in **some** movie.,Find actors who do **not** play in **any** movie.,Find actors who do **not** play in **all** movies.,Find actors who play in **all** movies.
Supplier,Supplies,Part,S,SP,Part,name,sno,pno,sno,pno,jjzqnlukdbfi,wlzxqrdomhmy,vdzjfewyymch,mdvzyicmrywa,xtupmfebeplx,gmfmyedimlfh,pwpndkxglwmu,irojtqwffkoj,Find suppliers who supply **some** part.,Find suppliers who do **not** supply **any** part.,Find suppliers who do **not** supply **all** parts.,Find suppliers who supply **all** parts.
Employee,Works_on,Project,E,W,Part,lname,ssn,pno,essn,pnumber,nnlmukzedmco,qozjhjhfdusl,bbgujydyzkar,xxddfftxepbx,gkfprksqvzon,gfgnnctuuylq,zdynbjjdvvjh,lszvknnnqxcn,Find employees who work on **some** project.,Find employees who do **not** work on **any** project.,Find employees who do **not** work on **all** projects.,Find employees who work on **all** projects.
Tourist,Visits,Country,T,V,C,name,tid,cid,tid,cid,aizxcrstyhli,gjboxpffuddu,bpcevxvvfocw,cgoagmechovk,fdbdglnddibw,fimbquifujzq,vcxtgecxowkx,fahrezzdtmmr,Find tourists who visit **some** country.,Find tourists who do **not** visit **any** country.,Find tourists who do **not** visit **all** countries.,Find tourists who visit **all** countries.
Customer,Rents,Vehicle,C,R,V,name,cid,vid,cide,vid,hadcdfzdxxur,ypsemxlpplzy,rkgqkucrrmtm,pwfhwmkfnuvb,bwrukhzexubr,whsoypkyaeci,nrfmdcfxpshe,xaexslsffled,Find customers who rent **some** vehicle.,Find customers who do **not** rent **any** vehicle.,Find customers who do **not** rent **all** vehicles.,Find customers who rent **all** vehicles.
Student,Passes,Exam,S,P,E,name,ID,exam_id,ID,exam_id,hclodumgwreq,ktdasezhcwnv,vdormjyjflqd,hmwqygcvbjgd,usuwymljunvf,jnpjbrzcdpxt,dhxrhxuelssr,qmkabkclovet,Find students who pass **some** exam.,Find students who do **not** pass **any** exam.,Find students who do **not** pass **all** exams.,Find students who pass **all** exams.
Director,Directs,Movie,D,DM,M,name,did,mid,did,mid,ynxvsplsrbsu,nmrzmkzladfd,ivntdnmvgerc,wrhgopejvndo,jxgknezwlkvo,riyhdwlxlcmb,zqqdqvcvwdru,ndinyrsiiwjp,Find directors who direct **some** movie.,Find directors who do **not** direct **any** movie.,Find directors who do **not** direct **all** movies.,Find directors who direct **all** movies.
Company,Produces,Article,C,P,A,name,cid,aid,cid,aid,lgvymoiceobf,pyapqfogqkng,uasmkvpweqoe,bjnhubebncbq,nmowhjnwmcce,glcttizendmn,zhqsscxtgudo,jhsikyxqfbdg,Find companies that produce **some** article.,Find companies that do **not** produce **any** article.,Find companies that do **not** produce **all** articles.,Find companies that produce **all** articles.
Student,Participates_in,Project,S,PP,P,name,sid,pid,sid,pid,nmkiubpucfrz,cmjmnnbcbkbh,akmiuzanlwya,aquasfxdkool,jvzptjnkeqrd,fnuxujavklxh,kwwyslmkjncn,ufpgzhlztdre,Find students who participate in **some** project.,Find students who do **not** participate in **any** project.,Find students who do **not** participate in **all** projects.,Find students who participate in **all** projects.
Friend,Visits,Park,F,V,P,name,id,pid,id,pid,gxwscryejkog,oomhhatgocpx,dotnmjplcfbk,nqedmctdzlue,bvwwnmhfjpsm,bcljfjjtahbs,cfuncjivrndp,lcyuceyhawsl,Find friends who visit **some** park.,Find friends who do **not** visit **any** park.,Find friends who do **not** visit **all** parks.,Find friends who visit **all** parks.
